policy,variant,completed_jobs,completed_utility,rejected_jobs,rejected_utility,ever_preempted_jobs,ever_preempted_utility,raw_auction_rejection_count,delta_completed_jobs,delta_completed_utility,delta_rejected_jobs,delta_rejected_utility,delta_ever_preempted_jobs,delta_ever_preempted_utility,delta_raw_auction_rejection_count,round_1_ga_calls,round_2_ga_calls,round_1_candidate_entries,round_2_candidate_entries,round_1_final_guard_repairs,round_2_final_guard_repairs,round_2_accepted,round_2_rejected,initial_chromosomes_repaired,initial_bits_removed,offspring_repaired,offspring_bits_removed,rng_choice_calls,rng_getrandbits_calls,rng_randint_calls,rng_random_calls,rng_randrange_calls,rng_sample_calls,final_rng_state_equal_to_baseline,recorded_call_shape_equal_to_baseline,allowed_rng_difference_reasons,selector_call_shape_sha256,selector_rng_trace_sha256,replay_exact
pipeline_double_knapsack_preemption,fixed_penalty,40,3193.9193472199277,1355,80807.51639562774,6,376.3463014112655,6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,128,54184,7005,837,104,46,6727,0,0,0,0,6773,295056470,12207400,9721600,18039720,9721600,True,True,,5ea96c6c2b4f142f852bb56b83523d9040cbac244fc386d3fb95bd1d95fc1dba,33f30a1cfc50ddbff9867044e1b45bfa2bfb7fc079f16995c76d132ac36da593,True
pipeline_double_knapsack_preemption,initial_population_repair,117,9541.426964770584,1278,74460.00877807708,29,2113.7602552381886,6493,77.0,6347.5076175506565,-77.0,-6347.507617550655,23.0,1737.4139538269233,-234.0,872,151,53112,7364,0,0,146,6493,197348,5922912,0,0,6639,302739316,11958400,10025400,17971973,10025400,False,False,round_1.single_candidate_calls:8->0;round_1.ga_calls:864->872;round_1.candidate_entries:54184->53112;round_2.empty_calls:600->37;round_2.single_candidate_calls:144->684;round_2.ga_calls:128->151;round_2.candidate_entries:7005->7364;uniform_choice_calls:6773->6639,acba13b9a6f511fc7d3d4417958ffb9ec465d9c39a418e36a7f44a71b6242ee3,bde5d92660a23f60a5f77b63322a3b83e494c811d96720f1ff80d9c0dba00138,True
pipeline_double_knapsack_preemption,offspring_repair,114,9295.550460985463,1281,74705.8852818622,28,2121.7769851323847,6466,74.0,6101.631113765536,-74.0,-6101.631113765543,22.0,1745.4306837211193,-261.0,872,151,52864,7333,716,0,142,6466,0,0,2151364,8853670,6608,302559800,11903600,10025400,17917834,10025400,False,False,round_1.single_candidate_calls:8->0;round_1.ga_calls:864->872;round_1.candidate_entries:54184->52864;round_2.empty_calls:600->42;round_2.single_candidate_calls:144->679;round_2.ga_calls:128->151;round_2.candidate_entries:7005->7333;uniform_choice_calls:6773->6608,4833cfbd9f4d41f35fe98991ab1a3bfccc65aadb937edef729e9672ecd5ad57f,9c823290cfb1885c844cf6f72c16feafdbe8edb5eece70afe9e14293b83d6108,True
pipeline_double_knapsack_retention,fixed_penalty,24,1451.859640016816,1371,82549.57610283085,0,0.0,6761,0.0,0.0,0.0,0.0,0.0,0.0,2.0,864,112,54280,6785,832,104,24,6761,0,0,0,0,6785,290622306,12203600,9564800,17942384,9564800,False,False,round_1.single_candidate_calls:16->8;round_1.ga_calls:856->864;round_1.candidate_entries:54264->54280;round_2.single_candidate_calls:40->39;round_2.ga_calls:111->112;round_2.candidate_entries:6783->6785;uniform_choice_calls:6783->6785,92f01be73aee8dbaf2555e070065e3e11d76b4d2a4faf3857f2b88331dd4652b,8fb60cb23a35d9a82557d04d0525905525a8039de75d649d9037c755fd1ee3a5,True
pipeline_double_knapsack_retention,initial_population_repair,127,10145.40404865791,1268,73856.03169418975,0,0.0,6529,103.0,8693.544408641095,-103.0,-8693.5444086411,0.0,0.0,-230.0,872,122,53248,6656,0,0,127,6529,197874,5947088,0,0,6656,294742569,11950600,9741200,17794336,9741200,False,False,round_1.single_candidate_calls:16->0;round_1.ga_calls:856->872;round_1.candidate_entries:54264->53248;round_2.empty_calls:721->599;round_2.single_candidate_calls:40->151;round_2.ga_calls:111->122;round_2.candidate_entries:6783->6656;uniform_choice_calls:6783->6656,74de1c62e036318dd7be9738c04060b1deb45ee0e706fbc181a370fcd39e5671,b0f8588a02ba9aa98f6f0ff891ea7ed9ef0a0157c48f82b26e960c2d56bf4e9a,True
pipeline_double_knapsack_retention,offspring_repair,128,10282.670284707874,1267,73718.7654581398,0,0.0,6549,104.0,8830.810644691059,-104.0,-8830.810644691053,0.0,0.0,-210.0,872,122,53416,6677,694,119,128,6549,0,0,2151019,9048163,6677,294929770,11988200,9741200,17832279,9741200,False,False,round_1.single_candidate_calls:16->0;round_1.ga_calls:856->872;round_1.candidate_entries:54264->53416;round_2.empty_calls:721->598;round_2.single_candidate_calls:40->152;round_2.ga_calls:111->122;round_2.candidate_entries:6783->6677;uniform_choice_calls:6783->6677,f84748af8b6650db65e8d6c9481b223ac7227bf542905764d300b6572ac32ac0,3f59223d997c50d74b896ea5ab5076d1c448755325cf401426838491f94601a9,True
